3.210105,0.000000,8
5.275507,0.000000,8
6.419909,-0.032000,8
7.101244,-0.032000,8
7.488787,-0.032000,8
7.709221,-0.032000,8
13.980291,8.088000,9
35.212162,34.163998,34
26.121176,17.651995,40
16.745350,1.907994,22
-8.089568,-30.557007,7
-5.092267,-23.007010,12
-0.885944,-18.842009,4
1.795591,-16.794008,1
1.560705,-15.934008,0
0.671569,-16.229008,0
0.127352,-16.765005,1
0.458217,-16.844004,1
0.792480,-16.697008,1
0.881963,-16.697008,1
0.932860,-16.697008,1
0.961811,-16.697008,1
0.978278,-16.697008,1
0.987645,-16.697008,1
0.992972,-16.697008,1
0.996003,-16.697008,1
0.997726,-16.697008,1
1.021054,-16.665009,1
1.011975,-16.665009,1
1.006812,-16.665009,1
