-14,-16
-15,-16
-15,-17
-14,-16
-14,-16
-5,-27
-123,-188
-202,-211
-102,-69
102,133
121,134
34,10
-43,-53
-24,-4
2,-61
-197,-221
-104,-84
15,51
34,38
31,21
-102,-193
-152,-172
-119,-131
-84,-84
-32,-33
25,34
23,25
23,62
-117,-242
-200,-235
-141,-127
8,32
56,62
6,21
-97,-243
-175,-168
-108,-108
31,83
72,80
11,-9
-15,-19
5,-7
-221,-251
-144,-124
57,123
91,94
-16,-51
-46,-55
-21,-13
-12,-17
7,-36
-208,-158
-174,-141
-21,23
86,96
71,79
12,-6
-1,0
3,6
6,7
-2,-114
-186,-206
-159,-174
-117,-121
-14,15
46,58
10,-25
-20,-33
-55,-78
-10,6
11,12
8,9
2,-53
-178,-212
-134,-147
-15,8
75,87
75,81
11,17
-7,-7
-6,-6
-6,-8
5,-102
-194,-245
-114,-103
21,65
46,54
19,20
15,21
16,18
15,18
17,26
-49,-182
-178,-174
-153,-168
-37,-23
50,51
18,13
10,8
11,14
